"candidate_id","title","location","hire_flag"
5707,"Productor y Creador de Contenido en Radio Resultados","Álvaro Obregón, Mexico City, Mexico",0
2770,"Software Engineer – Toptal","Kaliningrad, Kaliningrad, Russia",0
23404,"Software Architect | Cloud Architect | AWS | Docker | Kubernetes | Node.js | Python | Java | C# | .NET | Angular","Belo Horizonte, Minas Gerais, Brazil",0
2772,"Senior Software Engineer at Toptal","Riga, Riga, Latvia",0
2773,"Senior Android Engineer","Estonia",0
2774,"Design Lead / Lead UI & UX Designer - Digital apps (mobile & web)","Berlin, Berlin, Germany",0
2775,"World-class ASP.NET Core contractor","St Petersburg, St Petersburg City, Russia",1
2776,"Freelance Toptal DevOps","Other",0
2787,"PhD | Data Science & Optimization","Málaga, Andalusia, Spain",0
2777,"Computer Vision | Machine Learning Engineer | Data Scientist","Florianópolis, Santa Catarina, Brazil",0
2778,"Web Developer / Laravel / Wordpress / Hacktivist","Albania",0
2779,"Full-stack JavaScript Developer via Toptal at Hamon Labs","Osijek, Osijek-Baranja, Croatia",0
2780,"Front-end Developer @ Toptal Core dev team","Osijek, Osijek-Baranja, Croatia",0
2781,"Freelance web developer","Petrozavodsk, Karelia, Russia",0
2782,"Ruby on Rails Full-Stack Engineer","Idaho Falls, Idaho, United States",0
42060,"Desenvolvedor de back end na iFood","São Paulo, São Paulo, Brazil",0
2784,"Remote PHP/Wordpress Developer (Contract/Freelance)","Sweden",0
2785,"Backend Developer at Toptal","Kazakhstan",0
2786,"Frontend Engineer","Irkutsk, Irkutsk, Russia",0
2788,"Senior Mobile Developer and Community Leader at Toptal","Serbia",0
2790,"Full Stack Developer | Laravel, VueJS, Angular 1.x","Moscow, Moscow City, Russia",1
2791,"Lead Developer in The Healthy Mummy (via Toptal)","Madrid, Community of Madrid, Spain",1
2792,"Software Engineer at Latch","Georgia",0
2793,"Product Leadership. UX. Once wrote code.","Tarpon Springs, Florida, United States",0
2794,"Full Stack Developer at Toptal","Croatia",0
2795,"Data Scientist | Artificial Intelligence | DevSecOps | Application Security | Machine Learning | Data Engineering |","Toronto, Ontario, Canada",0
2796,"Backend Lead / DevOps Engineer at Magic Sandbox","Kyrgyzstan",0
2797,"CTO","Sarajevo, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina",0
2798,"I help transport & logistics businesses automate their processes","Greece",0
2808,"Technical co-founder | Hirescapes","Georgia",0
32024,"Sr. Dev en Mercado Libre S.R.L.","Argentina",0
5708,"Diseñador gráfico e-Learning","Teoloyucan, México, Mexico",0
2800,"I help teams 'amp up' their teamwork, communication & agility. I help individuals find deep joy in work and in life.","Braga, Braga, Portugal",0
2801,"Freelance Solution Architect, Infrastructure Engineer, Devops","Poland",0
2802,"Senior developer, Scrum Master, Team Leader, Frontend Manager at Toptal","Szczecin, Zachodniopomorskie, Poland",0
2803,"Software Engineer","Irvine, California, United States",0
2804,"Digital Product Designer","Zagreb, Grad Zagreb, Croatia",0
2805,"Software Engineer","Zagreb, Grad Zagreb, Croatia",0
2806,"Solving marketing problems :p","Yekaterinburg, Sverdlovsk, Russia",0
