"education_id","title","description","date_range","candidate_id"
12181,"Universidad de Buenos Aires","Lic. en Ciencias de la comunicación, Comunicación social","2010 – 2019",7692
12701,"Politécnico Grancolombiano","Periodista, Periodismo","2018 – 2022",7921
12403,"Universidad Nacional de La Plata",NULL,"2007 – 2015",7782
12476,"Universidade Federal de Sergipe","Bachelor’s Degree, Information Technology","2009 – 2010",7815
12702,"Servicio Nacional de Aprendizaje (SENA)","Técnico en programación de software, Software informático y aplicaciones multimedia","2011 – 2011",7921
12845,"Universidade Estadual Paulista Júlio de Mesquita Filho","Bachelor's Degree, Graphic Design","2005 – 2009",7976
12846,"GOBELINS, l'école de l'image","Conferences of International Summer School (Character Animation)","2013 – 2013",7976
12933,"Universidad Americana Paraguay","Grado en Ingeniería, Análisis de sistemas informáticos","2016 – 2023",8019
12958,"The University of Chicago - Booth School of Business","Master of Business Administration (M.B.A.)","2012 – 2014",8034
12959,"Georgia Institute of Technology","MS, Computer Science","2007 – 2008",8034
12960,"Georgia Institute of Technology","Bachelor's Degree, Computer Science","2004 – 2007",8034
13445,"E.E.S.T.Nº 1 de Esteban Echeverría","Técnico en Informática Profesional y Personal","2002 – 2004",8248
13217,"Universidad Cenfotec","Diseño y desarrollo web, Técnico","2012 – 2013",8159
13218,"Universidad Latina de Costa Rica","Bachillerato, Ingeniería del Software","2007 – 2012",8159
13219,"Universidad Cenfotec","Diplomado, Ingeniería del Software","2007 – 2011",8159
13242,"Universidade Regional de Blumenau","Bachelor's degree, Computer Science","2013 – 2017",8171
13315,"Instituto Tecnológico de Buenos Aires / ITBA","Informatics engineering","2010 – 2018",8197
13316,"Escuela de Educacion Tecnica","Tecnico Electromecanico, Electromecanica","2003 – 2008",8197
13317,"UTN","Experto Universitario de Seguridad de la Información","2014",8197
13323,"Odessa National 'I.I. Mecnikov' University","Master's degree, Physics Faculty. Department of Experimental Physics and Semiconductor Electronics.","2004 – 2009",8201
13387,"Texas A&M University","MS, Computer Science","2003 – 2005",8222
13388,"Texas A&M University","BS, Applied Mathematics","2000 – 2003",8222
13389,"Universidad Católica Andrés Bello","Bachelor's degree, Mass Communication/Media Studies","2012 – 2017",8223
13447,"Universidad Nacional de La Plata","Language Interpretation and Translation","2008 – 2012",8250
13448,"Escuela Técnica Nº 2","System Tech, Information Technology","2003 – 2006",8250
13554,"Billy Blue College of Design","Master of Design, Graphic Design","2018 – 2020",8293
